# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.290e-07 6.620e-07 6.442e-07 7.818e-09
      13 7.120e-07 7.450e-07 7.278e-07 7.997e-09
      16 8.180e-07 8.550e-07 8.356e-07 8.879e-09
      20 9.930e-07 1.036e-06 1.014e-06 1.011e-08
      25 1.260e-06 1.302e-06 1.281e-06 9.919e-09
      32 1.729e-06 1.800e-06 1.755e-06 1.296e-08
      40 2.375e-06 2.479e-06 2.437e-06 1.675e-08
      50 3.391e-06 3.531e-06 3.495e-06 2.623e-08
      63 5.043e-06 5.306e-06 5.210e-06 5.455e-08
      79 7.604e-06 7.985e-06 7.848e-06 9.107e-08
     100 1.182e-05 1.240e-05 1.218e-05 1.411e-07
     126 1.842e-05 1.930e-05 1.892e-05 2.050e-07
     158 2.866e-05 2.987e-05 2.932e-05 2.919e-07
     200 4.572e-05 4.726e-05 4.652e-05 3.727e-07
     251 7.188e-05 7.395e-05 7.289e-05 4.803e-07
     316 1.140e-04 1.165e-04 1.153e-04 5.815e-07
     398 1.811e-04 1.843e-04 1.826e-04 7.570e-07
     501 2.878e-04 2.916e-04 2.896e-04 9.220e-07
     631 4.580e-04 4.628e-04 4.601e-04 1.109e-06
     794 7.274e-04 7.330e-04 7.300e-04 1.249e-06
    1000 1.157e-03 1.164e-03 1.160e-03 1.459e-06
    1259 1.840e-03 1.847e-03 1.843e-03 1.577e-06
    1585 2.924e-03 2.932e-03 2.927e-03 1.972e-06
    1995 4.642e-03 4.651e-03 4.646e-03 1.873e-06
    2512 7.374e-03 7.383e-03 7.379e-03 2.026e-06
    3162 1.170e-02 1.171e-02 1.171e-02 2.342e-06
    3981 1.858e-02 1.859e-02 1.858e-02 2.931e-06
    5012 2.948e-02 2.950e-02 2.949e-02 3.172e-06
    6310 4.677e-02 4.679e-02 4.678e-02 3.837e-06
    7943 7.418e-02 7.420e-02 7.418e-02 4.419e-06
#------- --------- --------- --------- ---------


